packet_id,symbol,feed_type,source_clock,canonical_utc,drift_ms
pkt_1h_0,BTC-USD,L1,1765539832.7400663,2025-12-12T11:43:52.753308Z,13.24210654912295
pkt_1h_1,BTC-USD,L1,1765539833.7400663,2025-12-12T11:43:53.761277Z,21.21125440608107
pkt_1h_2,BTC-USD,L1,1765539834.7400663,2025-12-12T11:43:54.757196Z,17.129606680851076
pkt_1h_3,BTC-USD,L1,1765539835.7400663,2025-12-12T11:43:55.747338Z,7.271711639941341
pkt_1h_4,BTC-USD,L1,1765539836.7400663,2025-12-12T11:43:56.743870Z,3.8039571027869687
pkt_1h_5,BTC-USD,L1,1765539837.7400663,2025-12-12T11:43:57.746660Z,6.59419564797196
pkt_1h_6,BTC-USD,L1,1765539838.7400663,2025-12-12T11:43:58.761357Z,21.29113092323663
pkt_1h_7,BTC-USD,L1,1765539839.7400663,2025-12-12T11:43:59.756579Z,16.512449408234552
pkt_1h_8,BTC-USD,L1,1765539840.7400663,2025-12-12T11:44:00.759354Z,19.28798875822312
pkt_1h_9,BTC-USD,L1,1765539841.7400663,2025-12-12T11:44:01.754639Z,14.572906615591826
pkt_1h_10,BTC-USD,L1,1765539842.7400663,2025-12-12T11:44:02.756887Z,16.820769499499193
pkt_1h_11,BTC-USD,L1,1765539843.7400663,2025-12-12T11:44:03.747326Z,7.259834012849324
pkt_1h_12,BTC-USD,L1,1765539844.7400663,2025-12-12T11:44:04.748194Z,8.128225580595306
pkt_1h_13,BTC-USD,L1,1765539845.7400663,2025-12-12T11:44:05.742773Z,2.706627708824062
pkt_1h_14,BTC-USD,L1,1765539846.7400663,2025-12-12T11:44:06.751016Z,10.94987690423412
pkt_1h_15,BTC-USD,L1,1765539847.7400663,2025-12-12T11:44:07.750226Z,10.159665959065547
pkt_1h_16,BTC-USD,L1,1765539848.7400663,2025-12-12T11:44:08.746236Z,6.169608443887578
pkt_1h_17,BTC-USD,L1,1765539849.7400663,2025-12-12T11:44:09.755427Z,15.360392201062188
pkt_1h_18,BTC-USD,L1,1765539850.7400663,2025-12-12T11:44:10.745665Z,5.599124030023177
pkt_1h_19,BTC-USD,L1,1765539851.7400663,2025-12-12T11:44:11.747576Z,7.509811172362275
pkt_1h_20,BTC-USD,L1,1765539852.7400663,2025-12-12T11:44:12.748514Z,8.448241019120339
pkt_1h_21,BTC-USD,L1,1765539853.7400663,2025-12-12T11:44:13.753003Z,12.936287602300187
pkt_1h_22,BTC-USD,L1,1765539854.7400663,2025-12-12T11:44:14.748595Z,8.528312264864638
pkt_1h_23,BTC-USD,L1,1765539855.7400663,2025-12-12T11:44:15.741066Z,1.0
pkt_1h_24,BTC-USD,L1,1765539856.7400663,2025-12-12T11:44:16.755474Z,15.40781101798393
pkt_1h_25,BTC-USD,L1,1765539857.7400663,2025-12-12T11:44:17.751588Z,11.522098797525135
pkt_1h_26,BTC-USD,L1,1765539858.7400663,2025-12-12T11:44:18.753750Z,13.68386641915529
pkt_1h_27,BTC-USD,L1,1765539859.7400663,2025-12-12T11:44:19.749476Z,9.410219541650436
pkt_1h_28,BTC-USD,L1,1765539860.7400663,2025-12-12T11:44:20.752206Z,12.139816986796529
pkt_1h_29,BTC-USD,L1,1765539861.7400663,2025-12-12T11:44:21.760330Z,20.264135403129462
pkt_1h_30,BTC-USD,L1,1765539862.7400663,2025-12-12T11:44:22.752835Z,12.768273677336168
pkt_1h_31,BTC-USD,L1,1765539863.7400663,2025-12-12T11:44:23.753341Z,13.274871166599263
pkt_1h_32,BTC-USD,L1,1765539864.7400663,2025-12-12T11:44:24.748957Z,8.891012907855476
pkt_1h_33,BTC-USD,L1,1765539865.7400663,2025-12-12T11:44:25.754162Z,14.095626740948191
pkt_1h_34,BTC-USD,L1,1765539866.7400663,2025-12-12T11:44:26.760518Z,20.452129878314302
pkt_1h_35,BTC-USD,L1,1765539867.7400663,2025-12-12T11:44:27.755068Z,15.001273115168996
pkt_1h_36,BTC-USD,L1,1765539868.7400663,2025-12-12T11:44:28.753283Z,13.21694012792324
